timestamp,Carrier,OriginCityName,OriginCountry,DestCityName,DestCountry,FlightTimeMin,AvgTicketPrice,Cancelled,FlightDelayType,FlightDelay,DistanceKilometers
"2020-03-01T23:50:12.000Z","Kibana Airlines",London,GB,Shanghai,CN,"770.3175802892324","952.4522444587226",false,"No Delay",false,"9243.810963470789"
"2020-03-01T23:46:01.000Z","Logstash Airways",Olenegorsk,RU,Tokyo,JP,"350.8673338261353","1028.7682366113208",false,"No Delay",false,"7017.346676522706"
"2020-03-01T23:29:45.000Z",JetBeats,Genova,IT,Durban,ZA,"708.7174869300065","1091.8802959347431",false,"No Delay",false,"8504.609843160079"
"2020-03-01T23:27:00.000Z","Kibana Airlines",Pittsburgh,US,Seattle,US,"310.8669769102796","440.32475229026517",true,"No Delay",false,"3419.5367460130756"
"2020-03-01T23:21:27.000Z",JetBeats,Hyderabad,IN,Venice,IT,"425.29306137646057","908.8407360305944",false,"No Delay",false,"6804.688982023369"
"2020-03-01T23:12:33.000Z","ES-Air",Milan,IT,Vienna,AT,"36.55112376575337","760.3398209487639",true,"No Delay",false,"657.9202277835606"
"2020-03-01T23:04:08.000Z","Logstash Airways",Seoul,KR,Montreal,CA,"557.8232627529039","1000.6070389356696",false,"No Delay",false,"10598.641992305174"
"2020-03-01T23:01:03.000Z","Kibana Airlines",Rome,IT,London,GB,"100.51542465870439","788.6390630345932",false,"No Delay",false,"1407.2159452218614"
"2020-03-01T22:58:25.000Z","Kibana Airlines",Brisbane,AU,Johannesburg,ZA,"896.6992022658086","1155.3405895759547",false,"No Delay",false,"11657.089629455511"
"2020-03-01T22:53:35.000Z","Logstash Airways",Verona,IT,Zurich,CH,"16.216762328926205","929.8347900601407",false,"No Delay",false,"291.90172192067166"
"2020-03-01T22:44:14.000Z","Kibana Airlines",Brisbane,AU,Seoul,KR,"699.7153066826714","842.2976942000045",false,"No Delay",false,"7696.868373509386"
"2020-03-01T22:40:56.000Z","Kibana Airlines","Green Bay",US,Cagliari,IT,"473.9291302762512","707.8502148557338",false,"No Delay",false,"7582.866084420019"
"2020-03-01T22:17:15.000Z","ES-Air",Osaka,JP,Bangalore,IN,"520.6676803102056","1034.335733206719",false,"No Delay",false,"6248.012163722467"
"2020-03-01T22:15:05.000Z","Kibana Airlines",Norfolk,US,Pisa,IT,"542.9343262008684","1077.0333368503507",false,"No Delay",false,"7058.14624061129"
"2020-03-01T22:06:14.000Z","ES-Air","Xi'an",CN,"Xi'an",CN,105,"294.55761631493806",false,"Security Delay",true,0
"2020-03-01T22:06:14.000Z","ES-Air",Moscow,RU,Stockholm,SE,"71.9884579447256","839.0220506468108",false,"No Delay",false,"1223.803785060335"
"2020-03-01T21:44:41.000Z","Logstash Airways",Tokoname,JP,Rome,IT,"883.3652096705409","1067.5172474339874",false,"Late Aircraft Delay",true,"9813.843354728655"
"2020-03-01T21:41:38.000Z","Logstash Airways",Santiago,CL,"Chitose / Tomakomai",JP,"1308.48858947408","953.1211955797876",false,"No Delay",false,"17010.35166316304"
"2020-03-01T21:39:01.000Z","Kibana Airlines",Cagliari,IT,Sydney,AU,"1277.6602156180331","1188.047436703056",false,"No Delay",false,"16609.58280303443"
"2020-03-01T21:16:59.000Z","ES-Air",Zurich,CH,Zurich,CH,0,"444.7331618158528",false,"No Delay",false,0
"2020-03-01T20:58:57.000Z","ES-Air","Abu Dhabi",AE,Naples,IT,"207.75234320621976","514.763998895086",false,"No Delay",false,"4155.046864124395"
"2020-03-01T20:55:06.000Z","Kibana Airlines",Rome,IT,Rome,IT,0,"355.32975259018224",false,"No Delay",false,0
"2020-03-01T20:55:06.000Z","ES-Air","Frankfurt am Main",DE,Quito,EC,"489.99066886236477","1181.5361621116438",true,"No Delay",false,"9799.813377247296"
"2020-03-01T20:53:44.000Z","ES-Air",Vienna,AT,Vienna,AT,360,"375.5430524936913",false,"Weather Delay",true,0
"2020-03-01T20:51:31.000Z","ES-Air",Paris,FR,Shanghai,CN,"515.9516590729904","867.231028821183",false,"No Delay",false,"9287.129863313827"
"2020-03-01T20:42:25.000Z","Logstash Airways",Pisa,IT,"Xi'an",CN,"402.92908763766775","1080.446278516276",false,"No Delay",false,"8058.5817527533545"
"2020-03-01T20:30:08.000Z","ES-Air",Bologna,IT,Cologne,DE,"233.46301558734532","511.7199592123389",false,"NAS Delay",true,"769.2603117469066"
"2020-03-01T20:24:22.000Z","Kibana Airlines","Abu Dhabi",AE,"San Diego",US,"716.7891102271706","602.6208854721745",false,"No Delay",false,"13618.993094316242"
